Компания,Город,name,region.y,industry,claims_amount,proceedings_amount,size_cat,employees,income,expenses,intangibles,fixed_assets,noncurrent_assets,inventory,net_assets,receivables,current_assets,assets,lt_debt,st_debt,passive,nwc,equity,total_debt,sales,cgs,commercial,admin_expenses,interest_paid,ebt,eat,ebit,labor_costs,interest_payment,interest_coverage,net_profit_margin,ros,year,code_okved,firts_number_okved,okved_name,retained_earnings,short_term_liab,ind,Продукт,Технология
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,,,,,21461.0,21480.0,341054.0,127203.0,225360.0,624930.0,646410.0,186175.0,71258.0,646410.0,330379.0,127203.0,519207.0,1843312.0,1449116.0,190190.0,158987.0,16337.0,2805.0,41.0,19142.0,184537.0,2360.0,1.1717,,0.0244,2013,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,,,,,15404.0,15620.0,304250.0,127381.0,167600.0,714004.0,729624.0,281982.0,98062.0,729624.0,266784.0,127381.0,602243.0,1561181.0,1165302.0,191003.0,143278.0,20580.0,1676.0,178.0,21846.0,196676.0,10082.0,1.0615,0.0001,0.0395,2014,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,10873719.0,,Средние предприятия,130.0,1642777.0,1503767.0,515.0,13658.0,14208.0,279389.0,416179.0,226603.0,588589.0,602797.0,69962.0,,602797.0,482073.0,416179.0,186618.0,1624602.0,1121927.0,266658.0,95738.0,,139010.0,108835.0,127109.0,196749.0,,,0.067,0.0863,2023,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,404144000.0,115276000.0,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,123.0,1503161.0,1478011.0,70.0,3907.0,4120.0,186757.0,98393.0,199579.0,609173.0,613293.0,296707.0,36.0,613293.0,257215.0,98393.0,514900.0,1434467.0,1130841.0,166670.0,84070.0,6326.0,25150.0,19335.0,25951.0,113261.0,6019.0,4.1023,0.0135,0.0369,2018,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,86358000.0,218044000.0,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,149.0,1311840.0,1309338.0,,6272.0,6449.0,246618.0,129851.0,187785.0,622728.0,629177.0,223404.0,67325.0,629177.0,234364.0,129851.0,499326.0,1225206.0,922046.0,166184.0,116252.0,13290.0,2502.0,2044.0,9336.0,144409.0,8406.0,0.7025,0.0017,0.0169,2017,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,,,,,11548.0,11715.0,254691.0,127806.0,135608.0,554388.0,566103.0,206557.0,106042.0,566103.0,268508.0,127807.0,438297.0,1146899.0,836859.0,183207.0,98183.0,21930.0,18476.0,421.0,35905.0,138044.0,14891.0,1.6373,0.0004,0.025,2016,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,134.0,1916352.0,1814068.0,609.0,12118.0,12727.0,311103.0,243617.0,311527.0,705676.0,718403.0,123431.0,56.0,718403.0,345261.0,243617.0,474786.0,1894884.0,1463515.0,219409.0,111324.0,444.0,102284.0,81004.0,100625.0,162571.0,424.0,226.6329,0.0427,0.0531,2021,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,231582000.0,351322000.0,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,127.0,1155562.0,1131194.0,677.0,9128.0,9942.0,171679.0,162613.0,268229.0,590575.0,600517.0,156767.0,36.0,600517.0,290279.0,162613.0,437904.0,1130152.0,832891.0,170921.0,97654.0,758.0,24368.0,19013.0,23585.0,134944.0,758.0,31.1148,0.0168,0.0254,2020,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,150578000.0,280982000.0,elektrotehnika,,
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,128.0,1584127.0,1476236.0,705.0,11253.0,12095.0,184611.0,164267.0,228189.0,541887.0,553982.0,204518.0,36.0,553982.0,264004.0,164267.0,389715.0,1527389.0,1125644.0,211310.0,86679.0,487.0,107891.0,79514.0,102831.0,125676.0,487.0,211.152,0.0521,0.0679,2019,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,152233000.0,185042000.0,elektrotehnika,Microsoft Dynamics AX 2012,ERP
Точка опоры Промэлектросвет,Москва,"ТОЧКА ОПОРЫ ПРОМЭЛЕКТРОСВЕТ, ЗАО",Москва,Торговля оптовая осветительным оборудованием,,6000.0,Средние предприятия,125.0,1392766.0,1259021.0,623.0,14676.0,15299.0,228859.0,318715.0,212967.0,576223.0,591522.0,90486.0,,591522.0,336534.0,318715.0,272807.0,1335457.0,941671.0,188175.0,88424.0,67.0,133745.0,106680.0,129137.0,154632.0,123.0,1927.4179,0.0799,0.0878,2022,46.47.2,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,306680000.0,180939000.0,elektrotehnika,,
