Компания,Город,name,region.y,industry,claims_amount,proceedings_amount,size_cat,employees,income,expenses,intangibles,fixed_assets,noncurrent_assets,inventory,net_assets,receivables,current_assets,assets,lt_debt,st_debt,passive,nwc,equity,total_debt,sales,cgs,commercial,admin_expenses,interest_paid,ebt,eat,ebit,labor_costs,interest_payment,interest_coverage,net_profit_margin,ros,year,code_okved,firts_number_okved,ind,Продукт,Технология,inflation
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,276.0,622924.0,594948.0,2242.0,1613.0,3856.0,484.0,36964.0,199949.0,270073.0,273929.0,,,273929.0,799.0,36964.0,236965.0,621684.0,588220.0,4333.0,,,27976.0,22380.0,27653.0,322105.0,,,0.036,0.0469,2017,62.01,62.0,informacionnye_tehnologii,,,2.52
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,278.0,813991.0,787881.0,2756.0,1268.0,4024.0,2152.0,57852.0,187741.0,309870.0,313894.0,,45836.0,313894.0,97574.0,57852.0,256042.0,802599.0,760833.0,13429.0,,2943.0,26110.0,20888.0,28715.0,474274.0,106.0,9.7571,0.026,0.0353,2018,62.01,62.0,informacionnye_tehnologii,,,4.27
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,246.0,775347.0,759843.0,1086.0,2282.0,4109.0,765.0,70390.0,226061.0,310212.0,314321.0,58000.0,7056.0,314321.0,89781.0,70391.0,243931.0,732005.0,693350.0,12528.0,,4219.0,15504.0,12539.0,19535.0,499871.0,,4.6302,0.0171,0.0357,2019,62.01,62.0,informacionnye_tehnologii,,,3.05
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,209.0,713184.0,686884.0,816.0,1494.0,2372.0,765.0,91431.0,192145.0,281856.0,284228.0,43500.0,,284228.0,55872.0,91431.0,192797.0,674156.0,640433.0,8390.0,,,26300.0,21040.0,25975.0,468003.0,7056.0,,0.0312,0.0376,2020,62.01,62.0,informacionnye_tehnologii,,,4.91
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,213.0,807938.0,716614.0,273.0,2770.0,3043.0,746.0,130015.0,221247.0,407654.0,410697.0,,,410697.0,-34822.0,130015.0,280682.0,805641.0,701204.0,8663.0,,,91324.0,88584.0,91096.0,503232.0,,,0.11,0.1189,2021,62.01,62.0,informacionnye_tehnologii,АКАМ: Модуль Торги для 1С:CRM,CRM,8.39
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,213.0,807938.0,716614.0,273.0,2770.0,3043.0,746.0,130015.0,221247.0,407654.0,410697.0,,,410697.0,-34822.0,130015.0,280682.0,805641.0,701204.0,8663.0,,,91324.0,88584.0,91096.0,503232.0,,,0.11,0.1189,2021,62.01,62.0,informacionnye_tehnologii,Проекты внешнего аудита ИТ и безопасности (в тч PCI DSS и СУИБ),"ИБ - Антивирусы,ИБ - Антиспам,ИБ - Аутентификация,ИБ - Межсетевые экраны,ИБ - Предотвращения утечек информации,ИБ - Резервное копирование и хранение данных,ИБ - Средства шифрования",8.39
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,230.0,917600.0,879546.0,101.0,1244.0,2644.0,718.0,138277.0,236937.0,423293.0,425937.0,,,425937.0,-24410.0,138277.0,287660.0,913093.0,857098.0,7436.0,,40.0,38054.0,38054.0,37553.0,595900.0,,938.825,0.0417,0.0532,2022,62.01,62.0,informacionnye_tehnologii,,,11.92
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,,,Средние предприятия,263.0,1320203.0,1296142.0,1781.0,864.0,3772.0,541.0,162338.0,216109.0,432479.0,436251.0,,,436251.0,164475.0,162338.0,273913.0,1314026.0,1104987.0,180332.0,,40.0,24061.0,24061.0,21824.0,739662.0,,545.6,0.0183,0.0218,2023,62.01,62.0,informacionnye_tehnologii,Проекты внешнего аудита ИТ и безопасности (в тч PCI DSS и СУИБ),"ИБ - Антивирусы,ИБ - Антиспам,ИБ - Аутентификация,ИБ - Межсетевые экраны,ИБ - Предотвращения утечек информации,ИБ - Резервное копирование и хранение данных,ИБ - Средства шифрования",7.42
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,75.0,718065.0,709856.0,,16503.0,116518.0,148975.0,111295.0,53360.0,213719.0,330236.0,,3500.0,330236.0,-10235.0,111295.0,218941.0,601670.0,545278.0,19677.0,72419.0,1363.0,8209.0,6239.0,9572.0,15624.0,,7.0227,0.0104,-0.0593,2017,46.46,46.0,farmacevtika,ВидеоМост (VideoMost) ВКС,"SaaS,Видеоконференцсвязь",2.52
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,52.0,2273436.0,2251186.0,,16057.0,266087.0,170684.0,277091.0,284761.0,481781.0,747868.0,,,747868.0,-8903.0,277091.0,470777.0,2097466.0,2145733.0,51338.0,40871.0,2116.0,22250.0,15796.0,24366.0,27289.0,1966.0,11.5151,0.0075,-0.067,2018,46.46,46.0,farmacevtika,,,4.27
