Компания,Город,name,region.y,industry,claims_amount,proceedings_amount,size_cat,employees,income,expenses,lt_debt,st_debt,sales,cgs,commercial,eat,labor_costs,net_profit_margin,ros,year,code_okved,firts_number_okved,okved_name,retained_earnings,short_term_liab,ind,Продукт,Технология
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,,,,,,,,,,,,,2013,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,,,,,,106377.0,45889.0,57863.0,1649.0,,0.0155,0.0247,2014,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,,,,,,133488.0,132651.0,246.0,582.0,,0.0044,0.0044,2015,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,,,,,,212344.0,146605.0,3951.0,610.0,,0.0029,0.0098,2016,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,75.0,718065.0,709856.0,,3500.0,601670.0,545278.0,19677.0,6239.0,15624.0,0.0104,-0.0593,2017,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,farmacevtika,ВидеоМост (VideoMost) ВКС,"SaaS,Видеоконференцсвязь"
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,52.0,2273436.0,2251186.0,,,2097466.0,2145733.0,51338.0,15796.0,27289.0,0.0075,-0.067,2018,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,27091000.0,470777000.0,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,58.0,3032799.0,2920248.0,,140129.0,2796937.0,2760721.0,114743.0,91089.0,49020.0,0.0326,-0.0281,2019,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,117837000.0,282695000.0,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,35.0,3082573.0,2952201.0,,445560.0,2799233.0,2668153.0,91595.0,103416.0,28883.0,0.0369,0.0141,2020,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,221253000.0,735541000.0,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,46.0,3709790.0,3550764.0,,622447.0,3560081.0,3176554.0,258592.0,127248.0,44854.0,0.0357,0.0351,2021,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,348515000.0,1215056000.0,farmacevtika,,
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,,456465227.0,Средние предприятия,25.0,2213725.0,2135886.0,,595126.0,1974608.0,1628938.0,164414.0,58829.0,25018.0,0.0298,0.0918,2022,46.46,46.0,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,407344000.0,1707145000.0,farmacevtika,,
