Показатель,Среднее (Малые предприятия),Среднее (Средние предприятия),Значимость
employees,41.14 (26.21),95.69 (62.61),***
income,423820.94 (505043.79),1319686.31 (691123.27),***
expenses,373815.22 (290311.88),1185867.35 (558413.77),***
receivables,155627.71 (383114.6),507570.46 (3226474.52),*
assets,613818.88 (1707765.67),1557829.42 (5643525.6),**
passive,613785.43 (1707770.03),1557829.42 (5643525.6),**
nwc,110268.42 (279136.51),379311.8 (2331822.28),*
equity,295250.84 (1236871.39),644541.92 (3260215.03),
total_debt,333720.04 (753893.67),987460.45 (4846149.79),**
sales,344987.7 (230921.43),1120721.42 (459105.35),***
cgs,253244.46 (191291.56),857510.01 (431456.82),***
commercial,35772.92 (44411.07),126765.95 (148690.7),***
ebt,48761.94 (345063.33),124198.97 (431935.06),**
eat,44164.91 (341903.81),103923.52 (394905.39),*
ebit,23065.57 (70562.35),104529.91 (200935.14),***
labor_costs,59747.9 (73112.82),145446.04 (161576.43),***
net_profit_margin,0.15 (3.06),0.09 (1.31),
ros,-0.03 (0.23),-0.0 (0.16),
