Стройсервис (Кемерово),Кемерово,VisionLabs Thermo (ранее VisionLabs Termo),"ИБ - Биометрическая идентификация,Системы видеоаналитики",2021
Стройсервис (Кемерово),Кемерово,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2019
Атлас Майнинг (ранее Петропаловск ГК),Москва,Directum RX,"BPM,HRM,SaaS - Программное обеспечение как услуга,СЭД",2022
Атлас Майнинг (ранее Петропаловск ГК),Москва,Directum Projects,Системы управления проектами,2021
Атлас Майнинг (ранее Петропаловск ГК),Москва,Datareon Platform,"Data Quality - Качество данных,MDM - Master Data Management - Управление основными мастер-данными,СОА",2016
НИПИ Нефтегазпроект,Тюмень,Directum (СЭД/ECM-система),СЭД,2021
НИПИ Нефтегазпроект,Тюмень,Directum (СЭД/ECM-система),СЭД,2016
НИПИ Нефтегазпроект,Тюмень,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2016
Омггк,Магадан,1С:Управление торговлей 8,Системы автоматизации торговли,2016
Омггк,Магадан,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2013
Востокгеология,Чита,КОДОС GLOBOSS,Системы видеонаблюдения,2013
Терминал Астафьева,Находка,Docsvision (СЭД/ECM-система),СЭД,2021
Терминал Астафьева,Находка,Novosoft Nerpa ERP (ранее Nerpa.online),"BI,CRM,EAM,ERP,HRM,SCM,WMS,СЭД,Учетные системы",2018
УНГП,Оренбург,"ELMA BPM Suite,ELMA ECM+","BPM,SaaS - Программное обеспечение как услуга,СЭД",2020
Археологические изыскания в строительстве (АИСТ),Москва,1С:Зарплата и управление персоналом 8,HRM,2016
Варница (солезавод),Калининград,"ПТК КРУГ-2000,SCADA КРУГ-2000,КРУГ: TimeVisor Сервер единого времени","SCADA,АСКУЭ,АСУ ТП,Серверные платформы",2023
Бобровский кварцит,Магнитогорск,АТАЧ - система управления бизнес-процессами электронного документооборота и корпоративным контентом,"BPM,СЭД",2020
ДСК-177,Тверь,Omnicomm Online,"SaaS - Программное обеспечение как услуга,Системы безопасности и контроля автотранспорта,Спутниковая связь и навигация",2018
Курилгео,Южно-Сахалинск,ТЕЗИС Система управления документами и задачами,СЭД,2018
Быковогаз,Волгоград,"Комплексные проекты создания инженерных систем,Комплексные проекты по технической безопасности","ИБ - Биометрическая идентификация,Системы безопасности и контроля автотранспорта,Системы видеонаблюдения",2017
Базальт Менеджмент,Санкт-Петербург,БИТ.ФИНАНС: Управленческий учет,Учетные системы,2018
ГеоТех Инновэйшн,Москва,Syntellect Tessa,"BPM,СЭД",2023
Ригрент,Москва,"ELMA BPM Suite,ELMA CRM+","BPM,SaaS - Программное обеспечение как услуга,CRM",2022
Гольфстрим,Москва,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2016
Колмар,Москва,B2B-Center: ЭТП Плюс Система управления закупками и поставщиками,"SCM,SRM - Управление взаимоотношениями с поставщиками",2024
Газпром газораспределение Сыктывкар,Сыктывкар,Directum (СЭД/ECM-система),СЭД,2018
ЛУИС+ (LUIS+),Москва,"1С:Управление торговлей 8,1С:Документооборот 8","Системы автоматизации торговли,СЭД",2023
ЛУИС+ (LUIS+),Москва,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2022
ЛУИС+ (LUIS+),Москва,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2021
ЛУИС+ (LUIS+),Москва,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2019
ЛУИС+ (LUIS+),Москва,Datareon Platform,"Data Quality - Качество данных,MDM - Master Data Management - Управление основными мастер-данными,СОА",2019
Оптиком (Opticom),Новосибирск,TopLog WMS,WMS,2022
Оптиком (Opticom),Новосибирск,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2020
Оптиком (Opticom),Новосибирск,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2020
Оптиком (Opticom),Новосибирск,CWMS-3000,"WMS,Логистическая информационная система",2014
Оптиком (Opticom),Новосибирск,CallBox Contact-center,"Call-центры,IP-телефония,SaaS - Программное обеспечение как услуга",2013
Аквариус (Aquarius),Москва,Axelot WMS X5,"WMS,Складская автоматизация",2024
Аквариус (Aquarius),Москва,1С:Консолидация,"CPM,ERP",2014
Аквариус (Aquarius),Москва,Naumen Service Desk,"ITSM - Системы управления IT-службой,SaaS - Программное обеспечение как услуга",2013
Силтэк,Москва,"1С:CRM. Модуль для 1С:ERP и 1С:КА2,АКАМ: Модуль Торги для 1С:CRM",CRM,2022
Силтэк,Москва,1С:Управление холдингом,CPM,2022
Силтэк,Москва,Проекты внешнего аудита ИТ и безопасности (в тч PCI DSS и СУИБ),"ИБ - Антивирусы,ИБ - Антиспам,ИБ - Аутентификация,ИБ - Межсетевые экраны,ИБ - Предотвращения утечек информации,ИБ - Резервное копирование и хранение данных,ИБ - Средства шифрования",2019
Алиот,Москва,1С:Полиграфия,Учетные системы,2013
ЭнергопромСервис (ЭНПРО),Москва,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2017
ЭнергопромСервис (ЭНПРО),Москва,1С:Зарплата и управление персоналом 8,HRM,2016
ЭнергопромСервис (ЭНПРО),Москва,1С:Бухгалтерия ПРОФ,"SaaS - Программное обеспечение как услуга,Учетные системы",2015
АДЛ,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2022
АДЛ,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2013
Интеллектуальные Технологии (ИнтелТех),Санкт-Петербург,1С:PM Управление проектами,Системы управления проектами,2017
"ВТИ, ОАО",Москва,Directum (СЭД/ECM-система),СЭД,2015
Электрохолдинг,Краснодар,1С:Бухгалтерия,Учетные системы,2014
Электрохолдинг,Краснодар,1С:Зарплата и управление персоналом 8,HRM,2014
Электрохолдинг,Краснодар,1С:Управление торговлей 8,Системы автоматизации торговли,2014
Русьтелетех,Москва,1С:Документооборот 8 КОРП,СЭД,2017
Русьтелетех,Москва,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2015
ТЕСС-Инжиниринг,Чебоксары,1С:Бухгалтерия для Казахстана,Учетные системы,2013
ТЕСС-Инжиниринг,Чебоксары,1С:Предприятие 8. Управление торговым предприятием для Казахстана,ERP,2013
Симметрон ЭК (Симметрон Электронные Компоненты),Санкт-Петербург,1С-Битрикс: Управление сайтом - Бизнес веб-кластер,"Корпоративные порталы,Системы автоматизации торговли",2020
"Мицубиси Корпорейшн (Рус), Mitsubishi Corporation (Russia)",Москва,SAP SuccessFactors HCM,"HRM,SaaS - Программное обеспечение как услуга,Системы дистанционного обучения",2020
"Мицубиси Корпорейшн (Рус), Mitsubishi Corporation (Russia)",Москва,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2019
Ангстрем,Москва,Проекты внешнего аудита ИТ и безопасности (в тч PCI DSS и СУИБ),"ИБ - Антивирусы,ИБ - Антиспам,ИБ - Аутентификация,ИБ - Межсетевые экраны,ИБ - Предотвращения утечек информации,ИБ - Резервное копирование и хранение данных,ИБ - Средства шифрования",2017
Артрон Компьютерс,Москва,"ELMA BPM Suite,ELMA CRM+","BPM,SaaS - Программное обеспечение как услуга,CRM",2016
Пергам-Инжиниринг,Москва,"1С:Бухгалтерия КОРП,1С:Зарплата и управление персоналом 8","SaaS - Программное обеспечение как услуга,Учетные системы,HRM",2015
Пергам-Инжиниринг,Москва,Microsoft Dynamics NAV,ERP,2014
Сигнатек,Новосибирск,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2020
Точка опоры Промэлектросвет,Москва,Microsoft Dynamics AX 2012,ERP,2019
Оптосенс,Санкт-Петербург,Смарт-софт: Traffic Inspector Next Generation,ИБ - Межсетевые экраны,2018
"Металлист, кабельный завод",Колпашево,1С:Предприятие 8.0,ERP,2013
Клейтон,Воронеж,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2023
Трэнд,Москва,"ELMA BPM Suite,ELMA ECM+","BPM,SaaS - Программное обеспечение как услуга,СЭД",2016
