Показатель,Минимум (Малые предприятия),Максимум (Малые предприятия),Количество (Малые предприятия),Среднее (Малые предприятия),Минимум (Средние предприятия),Максимум (Средние предприятия),Количество (Средние предприятия),Среднее (Средние предприятия)
employees,2.0,100.0,300,41.14,4.0,247.0,255,95.69
income,50418.0,7099680.0,300,423820.94,204660.0,5674405.0,258,1319686.31
expenses,44654.0,1804761.0,300,373815.22,114225.0,4234344.0,258,1185867.35
receivables,4962.0,3574302.0,303,155627.71,7231.0,52313910.0,265,507570.46
assets,16149.0,23018178.0,303,613818.88,101457.0,75081673.0,265,1557829.42
passive,16149.0,23018178.0,303,613785.43,101457.0,75081673.0,265,1557829.42
nwc,-752845.0,2326890.0,303,110268.42,-2588851.0,37100658.0,265,379311.8
equity,-212041.0,18558875.0,303,295250.84,-2774382.0,47897948.0,265,644541.92
total_debt,8777.0,5969972.0,303,333720.04,22157.0,76672275.0,265,987460.45
sales,50378.0,1290620.0,303,344987.7,203566.0,2800471.0,265,1120721.42
cgs,106.0,1154439.0,300,253244.46,8.0,2703408.0,265,857510.01
commercial,3.0,288306.0,212,35772.92,10.0,1091048.0,203,126765.95
ebt,-305079.0,5799192.0,303,48761.94,-848045.0,4972135.0,265,124198.97
eat,-294965.0,5776930.0,303,44164.91,-820229.0,4352794.0,265,103923.52
ebit,-611014.0,504297.0,303,23065.57,-192104.0,2314184.0,265,104529.91
labor_costs,875.0,594935.0,250,59747.9,3517.0,1170394.0,257,145446.04
net_profit_margin,-10.0,52.0,303,0.15,-2.0,20.0,265,0.09
ros,-2.0,1.0,303,-0.03,-1.0,1.0,265,-0.0
