Компания,Город,name,region.y,industry,size_cat,year,code_okved,firts_number_okved,ind,employees,income,expenses,receivables,assets,passive,nwc,equity,total_debt,sales,cgs,commercial,ebt,eat,ebit,labor_costs,net_profit_margin,ros
1С-Рарус,Москва,"1С-РАРУС, ООО",Москва,Разработка компьютерного программного обеспечения,Средние предприятия,2017,62.01,62.0,informacionnye_tehnologii,241.0,847391.0,804809.0,212680.0,358744.0,358744.0,39306.0,102160.0,256584.0,833606.0,755916.0,30472.0,42582.0,39516.0,42931.0,513285.0,0.0,0.0
"А-фарм, фармацевтических холдинг",Москва,"А-ФАРМ, ООО",Москва,Торговля оптовая фармацевтической продукцией,Средние предприятия,2017,46.46,46.0,farmacevtika,48.0,2505065.0,2420024.0,513151.0,1212584.0,1212584.0,371252.0,438889.0,773694.0,2304999.0,2154230.0,116726.0,85260.0,67103.0,113358.0,31781.0,0.0,-0.0
АМКК (Армавирский мясоконсервный комбинат),Армавир,"АМКК, ООО",Краснодарский край,Производство колбасных изделий,Средние предприятия,2013,10.13.2,10.0,pishhevaya_promyshlennost,180.0,673434.0,666850.0,64114.0,223738.0,223738.0,31895.0,85474.0,138264.0,584486.0,502262.0,40367.0,7584.0,5981.0,9904.0,39811.0,0.0,0.0
АНТ-Цифровые Сервисы,Санкт-Петербург,"АНТ-ЦИФРОВЫЕ СЕРВИСЫ, ООО",Санкт-Петербург,Разработка компьютерного программного обеспечения,Малые предприятия,2018,62.01,62.0,informacionnye_tehnologii,77.0,247288.0,253105.0,106783.0,431464.0,431464.0,-7140.0,200832.0,230633.0,229200.0,181839.0,2148.0,-5818.0,-3193.0,-11682.0,138943.0,-0.0,-0.0
АПК Вектор (Авиационно-Промышленная Компания Вектор),Москва,"АПК ВЕКТОР, ООО",Москва,Деятельность грузового воздушного транспорта и космического транспорта,Средние предприятия,2017,51.2,51.0,transport,88.0,1387050.0,1374292.0,411408.0,1490293.0,1490293.0,87211.0,456149.0,1060690.0,795267.0,813009.0,998.0,12759.0,4406.0,26097.0,65449.0,-0.0,-0.0
АСВ-Технологии,Ижевск,"АСВ ТЕХНОЛОГИИ, ООО",Удмуртская Республика,Производство прочего электрического оборудования,Малые предприятия,2017,27.9,27.0,elektrotehnika,51.0,218021.0,201811.0,58671.0,195141.0,195141.0,56016.0,33913.0,161227.0,204768.0,162901.0,7883.0,16733.0,13632.0,24051.0,20075.0,0.0,0.0
АТИСС,Краснодар,"АТИСС, ООО",Краснодарский край,Разработка компьютерного программного обеспечения,Малые предприятия,2018,62.01,62.0,informacionnye_tehnologii,54.0,315379.0,302484.0,150644.0,291987.0,291987.0,31180.0,19169.0,272818.0,300314.0,112541.0,6.0,12895.0,12222.0,17035.0,109542.0,0.0,0.0
Абсолютные технологии,Москва,"АБСОЛЮТНЫЕ ТЕХНОЛОГИИ, АО",Москва,Торговля оптовая бытовыми электротоварами,Малые предприятия,2017,46.43,46.0,elektrotehnika,51.0,562252.0,489036.0,168594.0,245780.0,245780.0,46224.0,57683.0,188097.0,540933.0,356153.0,37264.0,73215.0,56246.0,73215.0,66236.0,0.0,0.0
Авангард Система,Москва,"АВАНГАРД СИСТЕМА, ООО",Москва,Торговля оптовая водопроводным и отопительным оборудованием и санитарно-технической арматурой,Средние предприятия,2016,46.74.2,46.0,torgovlya,28.0,834786.0,796601.0,38947.0,168137.0,168137.0,26586.0,43165.0,124972.0,714125.0,583438.0,93884.0,33909.0,26428.0,33595.0,49707.0,0.0,0.0
Аванти Фарма,Владивосток,"АВАНТИ ФАРМА, ООО",Приморский край,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),Средние предприятия,2017,47.73,47.0,torgovlya,53.0,767299.0,738188.0,7231.0,202938.0,202938.0,-47130.0,67390.0,135549.0,762761.0,640171.0,85780.0,29112.0,26028.0,32714.0,,0.0,0.0
"Авента, Брянск",Брянск,"АВЕНТА, ООО",Брянская область,Торговля оптовая бытовыми электротоварами,Средние предприятия,2017,46.43,46.0,torgovlya,60.0,1072034.0,1047728.0,105435.0,330181.0,330181.0,206856.0,197669.0,132512.0,1039173.0,920030.0,84184.0,24306.0,19305.0,27265.0,31108.0,0.0,0.0
АверСтрой,Санкт-Петербург,"АВЕРСТРОЙ, ООО",Санкт-Петербург,Строительство жилых и нежилых зданий,Малые предприятия,2017,41.2,41.0,transport,36.0,239692.0,224637.0,49090.0,111582.0,111582.0,-25309.0,11501.0,100080.0,228084.0,197743.0,308.0,15055.0,11910.0,13464.0,31359.0,0.0,0.0
Аврора (Подстепки),Самарская область,"АВРОРА, ООО",Самарская область,"Производство прочих машин и оборудования общего назначения, не включенного в другие группировки",Средние предприятия,2017,28.29,28.0,selskoe_hozyaystvo,13.0,1857879.0,1743348.0,634187.0,999566.0,999566.0,257920.0,412158.0,587409.0,1689254.0,1440445.0,159004.0,114531.0,89302.0,104469.0,11904.0,0.0,0.0
Авто-Лидер-Центр,Екатеринбург,"АВТО-ЛИДЕР-ЦЕНТР, ООО",Свердловская область,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Малые предприятия,2013,45.11.2,45.0,transport,66.0,997885.0,957960.0,103986.0,309358.0,309358.0,146133.0,149157.0,160201.0,992281.0,895554.0,14700.0,44261.0,41438.0,58326.0,14557.0,0.0,0.0
Авто-Транзит,Волгоград,"АВТО-ТРАНЗИТ, ООО",Волгоградская область,"Торговля оптовая автомобильными деталями, узлами и принадлежностями",Средние предприятия,2019,45.31,45.0,torgovlya,46.0,949614.0,934955.0,24592.0,101457.0,101457.0,33252.0,23839.0,77618.0,947229.0,869499.0,60728.0,14689.0,11924.0,15009.0,15432.0,0.0,0.0
Автобытдор,Московская область,"АВТОБЫТДОР, АО",Московская область,"Деятельность заказчика-застройщика, генерального подрядчика",Средние предприятия,2014,71.12.2,71.0,zhkh,6.0,797008.0,782567.0,85598.0,165377.0,165377.0,-11237.0,36082.0,130241.0,517930.0,498503.0,425.0,1214.0,-90.0,2421.0,26057.0,-0.0,-0.0
Автошинторг (Автошина38),Иркутск,"АВТОШИНТОРГ, ООО",Иркутская область,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов",Средние предприятия,2017,45.31.1,45.0,transport,25.0,752563.0,728113.0,36266.0,196399.0,196399.0,93143.0,96299.0,100100.0,743819.0,691693.0,28151.0,24450.0,19478.0,26292.0,3517.0,0.0,0.0
Агентство 2,Санкт-Петербург,"АГЕНТСТВО 2, ООО",Санкт-Петербург,Деятельность рекламных агентств,Малые предприятия,2014,73.11,73.0,reklama,62.0,365778.0,356369.0,343968.0,428939.0,428939.0,53970.0,19912.0,409671.0,521898.0,382946.0,,13668.0,9711.0,17768.0,49607.0,0.0,0.0
Агентство Авиа Центр,Москва,"АГЕНТСТВО АВИА ЦЕНТР, ООО",Москва,Деятельность туристических агентств и туроператоров,Малые предприятия,2013,79.1,79.0,logistika,27.0,191186.0,179099.0,128212.0,148086.0,148086.0,20785.0,13565.0,134521.0,143300.0,60695.0,88161.0,11354.0,9375.0,13087.0,35037.0,0.0,-0.0
Агриматко,Краснодар,"АГРИМАТКО, АО",Краснодарский край,"Торговля оптовая сельскохозяйственными и лесохозяйственными машинами, оборудованием и инструментами, включая тракторы",Средние предприятия,2018,46.61.1,46.0,selskoe_hozyaystvo,83.0,1542896.0,1320618.0,116668.0,720040.0,720040.0,-476760.0,-271918.0,991958.0,878132.0,660167.0,176038.0,222278.0,232056.0,219522.0,94758.0,0.0,0.0
Агро-Пак,Батайск,"АГРО-ПАК, ООО",Ростовская область,Торговля оптовая неспециализированная,Малые предприятия,2016,46.9,46.0,selskoe_hozyaystvo,42.0,614685.0,597040.0,70244.0,216872.0,216872.0,80602.0,17032.0,199840.0,544864.0,488996.0,37197.0,15835.0,12250.0,21825.0,,0.0,0.0
Агро-РСТ,Новосибирск,"АГРО-РСТ, ООО",Новосибирская область,Производство мясных (мясосодержащих) полуфабрикатов,Малые предприятия,2016,10.13.4,10.0,pishhevaya_promyshlennost,43.0,266375.0,262754.0,34396.0,59132.0,59132.0,20825.0,10187.0,48945.0,238322.0,195968.0,25056.0,3466.0,2916.0,5157.0,16891.0,0.0,0.0
АгроГард,Москва,"АГРОГАРД, АО",Москва,Консультирование по вопросам коммерческой деятельности и управления,Средние предприятия,2013,70.22,70.0,selskoe_hozyaystvo,66.0,1023348.0,986204.0,69701.0,316571.0,316571.0,15424.0,26648.0,289923.0,582304.0,569198.0,,28229.0,21874.0,25581.0,505681.0,0.0,-0.0
Агроснаб Плюс,Омск,"АГРОСНАБ ПЛЮС, ООО",Омская область,Производство мясных (мясосодержащих) полуфабрикатов,Малые предприятия,2017,10.13.4,10.0,torgovlya,28.0,180723.0,177704.0,13520.0,28362.0,28362.0,18436.0,15472.0,12890.0,178973.0,162864.0,5821.0,3018.0,2325.0,2934.0,,0.0,0.0
Агрофабрика Натурово,Калининград,"АГРОФАБРИКА НАТУРОВО, ООО",Калининградская область,Торговля оптовая фруктами и овощами,Средние предприятия,2017,46.31,46.0,pishhevaya_promyshlennost,56.0,950002.0,932307.0,177798.0,355866.0,355866.0,142915.0,66610.0,289256.0,929772.0,894759.0,,17711.0,12970.0,17429.0,59724.0,0.0,0.0
Агрофирма Аэлита,Москва,"АГРОФИРМА АЭЛИТА, ООО",Москва,"Торговля оптовая семенами, кроме семян масличных культур",Малые предприятия,2016,46.21.12,46.0,selskoe_hozyaystvo,54.0,735854.0,625484.0,294740.0,682696.0,682696.0,533912.0,626091.0,56604.0,677958.0,399912.0,96394.0,112747.0,92803.0,102306.0,,0.0,0.0
Агроцентр-Юг,Краснодар,"АГРОЦЕНТР-ЮГ, ООО СП",Краснодарский край,"Торговля оптовая машинами, оборудованием и инструментами для сельского хозяйства",Малые предприятия,2013,46.61,46.0,transport,28.0,168478.0,167732.0,19120.0,75486.0,75486.0,9860.0,5986.0,69500.0,146183.0,130312.0,18366.0,1089.0,1072.0,3404.0,4344.0,0.0,0.0
Админора,Москва,"АДМИНОРА, АО",Москва,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Средние предприятия,2015,46.51,46.0,informacionnye_tehnologii,12.0,915394.0,816546.0,425369.0,818738.0,818738.0,267161.0,448430.0,370308.0,1217972.0,1029838.0,9164.0,126765.0,98553.0,120982.0,16079.0,0.0,0.0
АйТи,Москва,"АЙТИ, АО",Москва,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",Малые предприятия,2013,62.09,62.0,informacionnye_tehnologii,94.0,1705347.0,1681921.0,985701.0,3838308.0,3838308.0,1824908.0,620933.0,3217955.0,1927665.0,1627489.0,18213.0,63638.0,40830.0,244114.0,136312.0,0.0,0.0
Айсиси (Индастриал энд сивил констракшн),Москва,"АЙСИСИ, ООО",Москва,Строительство жилых и нежилых зданий,Средние предприятия,2017,41.2,41.0,stroitelstvo,38.0,660386.0,619967.0,187166.0,296105.0,296105.0,8012.0,44236.0,251868.0,657869.0,585848.0,,40419.0,32078.0,37568.0,74958.0,0.0,0.0
Айстек (iStack),Ростов-на-Дону,"АЙСТЕК, ООО",Ростовская область,Деятельность консультативная и работы в области компьютерных технологий,Малые предприятия,2017,62.02,62.0,informacionnye_tehnologii,27.0,161922.0,149689.0,27826.0,52375.0,52375.0,12985.0,25121.0,27254.0,159966.0,108654.0,38866.0,12233.0,9804.0,12514.0,,0.0,0.0
Академия Здоровья,Нижний Новгород,"АКАДЕМИЯ ЗДОРОВЬЯ, ООО",Нижегородская область,Торговля оптовая фармацевтической продукцией,Малые предприятия,2019,46.46,46.0,farmacevtika,9.0,276818.0,244056.0,54710.0,145476.0,145476.0,87528.0,94208.0,54868.0,249710.0,190767.0,30301.0,32762.0,26976.0,33635.0,5850.0,0.0,0.0
Академпарк (Технопарк Новосибирского Академгородка),Новосибирск,"АКАДЕМПАРК, АО",Новосибирская область,Аренда и управление собственным или арендованным недвижимым имуществом,Малые предприятия,2013,68.2,68.0,konsalting,46.0,494044.0,477168.0,247991.0,4009741.0,4009741.0,-74786.0,3368149.0,669990.0,248153.0,283464.0,385.0,11865.0,4710.0,8708.0,61976.0,-0.0,-0.0
АкваЛайн,Вологда,"АКВАЛАЙН, ООО",Вологодская область,Сбор неопасных отходов,Средние предприятия,2017,38.11,38.0,zhkh,57.0,888456.0,951975.0,210323.0,495998.0,495998.0,-269549.0,-260898.0,756896.0,719783.0,776316.0,,-63519.0,-58415.0,-61157.0,37698.0,-0.0,-0.0
Акванова Рус (Aquanova Rus),Дубна,"АКВАНОВА РУС, АО",Московская область,"Производство прочих пищевых продуктов, не включенных в другие группировки",Малые предприятия,2017,10.89,10.0,pishhevaya_promyshlennost,26.0,450466.0,341937.0,147798.0,648299.0,648299.0,382162.0,621368.0,26931.0,401439.0,234722.0,5561.0,108529.0,99767.0,102311.0,51895.0,0.0,0.0
Аквион,Москва,"АКВИОН, АО",Москва,Производство биологически активных добавок к пище,Средние предприятия,2013,10.89.8,10.0,farmacevtika,61.0,887449.0,803772.0,335291.0,644407.0,644407.0,296156.0,302844.0,341563.0,636876.0,193183.0,283018.0,39158.0,27052.0,29870.0,112454.0,-0.0,-0.0
Аксесс-А.С.К.,Комсомольск-на-Амуре,"АКСЕСС-А.С.К., ООО",Хабаровский край,Деятельность по комплексному обслуживанию помещений,Средние предприятия,2013,81.1,81.0,stroitelstvo,173.0,771800.0,710013.0,145422.0,370891.0,370891.0,156337.0,194282.0,176614.0,671803.0,551640.0,10060.0,61125.0,48492.0,61990.0,163439.0,0.0,0.0
